Best 0.652344 using {'learn_rate': 0.001, 'momentum': 0.4}
0.575521 (0.130897) with: {'learn_rate': 0.001, 'momentum': 0.0}
0.427083 (0.134575) with: {'learn_rate': 0.001, 'momentum': 0.2}
0.652344 (0.022999) with: {'learn_rate': 0.001, 'momentum': 0.4}
0.351562 (0.028348) with: {'learn_rate': 0.001, 'momentum': 0.6}
0.533854 (0.149269) with: {'learn_rate': 0.001, 'momentum': 0.8}
0.651042 (0.024774) with: {'learn_rate': 0.001, 'momentum': 0.9}
0.537760 (0.143784) with: {'learn_rate': 0.01, 'momentum': 0.0}
0.464844 (0.150378) with: {'learn_rate': 0.01, 'momentum': 0.2}
0.533854 (0.149269) with: {'learn_rate': 0.01, 'momentum': 0.4}
0.572917 (0.134575) with: {'learn_rate': 0.01, 'momentum': 0.6}
0.533854 (0.149269) with: {'learn_rate': 0.01, 'momentum': 0.8}
0.455729 (0.146518) with: {'learn_rate': 0.01, 'momentum': 0.9}
0.529948 (0.146031) with: {'learn_rate': 0.1, 'momentum': 0.0}
0.651042 (0.024774) with: {'learn_rate': 0.1, 'momentum': 0.2}
0.544271 (0.146518) with: {'learn_rate': 0.1, 'momentum': 0.4}
0.649740 (0.026557) with: {'learn_rate': 0.1, 'momentum': 0.6}
0.544271 (0.146518) with: {'learn_rate': 0.1, 'momentum': 0.8}
0.544271 (0.146518) with: {'learn_rate': 0.1, 'momentum': 0.9}
0.572917 (0.134575) with: {'learn_rate': 0.2, 'momentum': 0.0}
0.455729 (0.146518) with: {'learn_rate': 0.2, 'momentum': 0.2}
0.575521 (0.130897) with: {'learn_rate': 0.2, 'momentum': 0.4}
0.651042 (0.024774) with: {'learn_rate': 0.2, 'momentum': 0.6}
0.651042 (0.024774) with: {'learn_rate': 0.2, 'momentum': 0.8}
0.651042 (0.024774) with: {'learn_rate': 0.2, 'momentum': 0.9}
0.455729 (0.146518) with: {'learn_rate': 0.3, 'momentum': 0.0}
0.544271 (0.146518) with: {'learn_rate': 0.3, 'momentum': 0.2}
0.651042 (0.024774) with: {'learn_rate': 0.3, 'momentum': 0.4}
0.468750 (0.147095) with: {'learn_rate': 0.3, 'momentum': 0.6}
0.544271 (0.146518) with: {'learn_rate': 0.3, 'momentum': 0.8}
0.651042 (0.024774) with: {'learn_rate': 0.3, 'momentum': 0.9}
